id,equipment_name,name,description,units,value,type,last_updated,first_updated,building_id,square_footage
191196,elecMeter-443111257002006,443111257002006 (kWh),21 West End Avenue_443111257002006 (kWh),kW,75.6,Electric Consumption,2019-12-20 05:15:00-06:00,2019-06-19 21:00:00-07:00,100,153750.0
358161,elecMeter-6132839,6132839 (kW),,,0.0,Electric Consumption,2020-10-28 09:30:00-06:00,2020-06-19 21:15:00-07:00,100,153750.0
193812,Site-Sensor,,Main Power,kWh,17818.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-11-20 12:00:00-07:00,105,56000.0
193895,Site-Sensor,,Whole Building (AcquiLite),kWh,11.0,Electric Consumption,2020-05-04 22:00:01-06:00,2019-10-31 21:00:00-07:00,108,
194172,meter-electric,,Selfhelp K1 Meters Exhaust Electrical Meter,kWh,61290.0,Electric Consumption,2018-08-31 22:15:00-06:00,2018-08-31 21:00:00-07:00,110,789079.0
194195,elecMeterLoad-site,Total Base Building Consumption_value,Total Base Building Consumption_value,,4665.15,Electric Consumption,2019-03-12 21:55:00-06:00,2017-09-11 21:00:00-07:00,112,210000.0
197088,elecMeter-site,CurrentDemand_Building_value,CurrentDemand_Building_value,kWh,258.87,Electric Consumption,2018-05-31 21:45:00-06:00,2017-11-30 22:00:00-07:00,121,236067.0
197125,Site-Sensor,,Main Power,kWh,12378.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-11-28 10:00:00-07:00,122,56000.0
197192,elecMeter-8479295,8479295 (kWh),8479295 (kWh),kWh,19.68,Electric Consumption,2018-09-15 22:00:00-06:00,2017-09-14 21:15:00-07:00,123,330000.0
197193,elecMeter-8479296,8479296 (kWh),8479296 (kWh),kWh,15.36,Electric Consumption,2018-09-15 22:00:00-06:00,2017-09-14 21:15:00-07:00,123,330000.0
197194,elecMeter-8939311,8939311 (kWh),8939311 (kWh),kWh,33.36,Electric Consumption,2018-09-15 22:00:00-06:00,2017-09-14 21:15:00-07:00,123,330000.0
197200,meter-site,,Whole Building (AcquiLite)_kWh,kWh,0.1,Electric Consumption,2020-01-09 23:00:00-06:00,2019-01-09 22:00:00-07:00,125,8500.0
197310,meter-electric,Main Electric Meter kWh,Main Electric Meter kWh,kWh,1667704.0,Electric Consumption,2019-01-05 20:00:00-06:00,2018-06-30 21:00:00-07:00,127,789079.0
197557,meter-site,,Main Power,kWh,0.36,Electric Consumption,2019-08-22 20:00:00-06:00,2018-08-22 10:00:00-07:00,132,198057.0
197842,meter-site,,446225112500033 (kWh),kWh,9.72,Electric Consumption,2019-12-27 11:00:00-06:00,2018-12-31 22:00:00-07:00,135,200000.0
197985,meter-site,,meter_kwh,kWh,25.32,Electric Consumption,2019-12-10 22:45:00-06:00,2016-12-31 22:15:00-07:00,137,221704.0
198114,meter-site,,Whole Building (AcquiLite)_kwh,kWh,0.8,Electric Consumption,2020-02-29 22:59:00-06:00,2019-04-30 21:00:00-07:00,139,9000.0
198950,elecMeter1,,Meter Data Elec Meter Electric Meter 1,kWh,128.01,Electric Consumption,2019-12-31 22:45:00-06:00,2018-12-14 22:00:00-07:00,146,281755.0
198951,elecMeter2,,Meter Data Elec Meter Electric Meter 2,kWh,204.01,Electric Consumption,2019-12-31 22:45:00-06:00,2018-12-14 22:00:00-07:00,146,281755.0
199033,meter-site,,Main Power,kWh,0.29,Electric Consumption,2019-07-02 20:00:00-06:00,2018-07-03 08:00:00-07:00,147,198057.0
199120,meter-site,,Main Power,kWh,2.86,Electric Consumption,2018-08-25 12:00:00-06:00,2018-08-22 07:00:00-07:00,151,198057.0
199194,meter-site,,Main Power,kWh,0.0,Electric Consumption,2019-08-26 20:00:00-06:00,2018-08-27 13:00:00-07:00,155,144000.0
199219,Site-Sensor,,Main Power,kWh,17286.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-12-05 15:00:00-07:00,157,56000.0
199254,meter-site,,Whole Building (AcquiLite)_kWh,kWh,5.05,Electric Consumption,2020-02-29 23:00:01-06:00,2019-04-30 21:00:00-07:00,158,9000.0
200594,Site-Sensor,,Main Power,kWh,12416.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-12-04 13:00:00-07:00,164,56000.0
200632,meter-site,,Main Power,kWh,8.43,Electric Consumption,2019-09-19 20:00:00-06:00,2018-09-19 21:00:00-07:00,165,144000.0
200654,meter-site,,Main Power,kWh,1.31,Electric Consumption,2019-07-02 20:00:00-06:00,2018-07-03 07:00:00-07:00,166,198057.0
200672,meter-site,,Main Power,kWh,0.0,Electric Consumption,2019-10-11 20:00:00-06:00,2018-10-11 21:00:00-07:00,167,144000.0
201005,meter-electric,,Selfhelp K4 Meters Electric Meter Dmarc,kWh,38700.0,Electric Consumption,2018-09-30 22:00:00-06:00,2018-08-31 21:00:00-07:00,170,789079.0
201043,meter-site,,Main Power,kWh,0.16,Electric Consumption,2019-07-16 20:00:00-06:00,2018-07-16 14:00:00-07:00,172,198057.0
201055,meter-site,,Main Power,kWh,3.71,Electric Consumption,2019-02-21 21:00:00-06:00,2018-08-22 10:00:00-07:00,173,198057.0
201303,meter-site,,Main Power,kWh,10.35,Electric Consumption,2019-07-02 20:00:00-06:00,2018-07-03 08:00:00-07:00,175,198057.0
201323,elecMeter-494061081200003,494061081200003 (kWh),494061081200003 (kWh),kWh,23.16,Electric Consumption,2019-12-27 11:00:00-06:00,2018-12-31 22:00:00-07:00,176,150000.0
201326,meter-site,,Main Power,kWh,6.38,Electric Consumption,2019-09-19 20:00:00-06:00,2018-09-19 21:00:00-07:00,177,144000.0
201363,Site-Sensor,,Main Power,kWh,12696.0,Electric Consumption,2019-10-02 07:00:00-06:00,2017-11-06 11:00:00-07:00,179,56000.0
202720,meter-site,,Main Power,kWh,2.72,Electric Consumption,2019-07-16 20:00:00-06:00,2018-07-17 07:00:00-07:00,187,198057.0
202744,meter-site,,Main Power,kWh,3.66,Electric Consumption,2019-09-05 20:00:00-06:00,2018-09-05 21:00:00-07:00,188,144000.0
203559,meter-site,,Main Power,kWh,0.52,Electric Consumption,2019-07-02 20:00:00-06:00,2018-07-02 13:00:00-07:00,191,198057.0
203621,meter-site,,kWh,kWh,858.0,Electric Consumption,2018-12-09 23:00:00-06:00,2016-12-31 22:15:00-07:00,194,1700000.0
204541,meter-site,,Whole Building (AcquiLite)_kWh,kWh,0.35,Electric Consumption,2020-02-29 22:59:00-06:00,2019-04-30 21:00:00-07:00,205,8500.0
204553,meter-electric,,Selfhelp K3 Meters Electric Meter Dmarc,kWh,113672.5,Electric Consumption,2018-12-31 23:00:00-06:00,2018-06-30 21:00:00-07:00,206,789079.0
204658,meter-site,,Main Power,kWh,0.13,Electric Consumption,2019-08-01 20:00:00-06:00,2018-07-31 21:00:00-07:00,210,198057.0
205078,elecMeter-site,Total Electric Consumption value,Total Electric Consumption_value,,8559.0,Electric Consumption,2021-06-10 21:50:00-06:00,2019-12-09 22:00:00-07:00,217,229154.0
