,id,building_id,last_updated,first_updated,device,network_device,objectId,name,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,state_text,equip_id
0,191196,100,1576840500000.0,1561003200000.0,,,,443111257002006 (kWh),21 West End Avenue_443111257002006 (kWh),kW,kwh,16,75.6,Electric Consumption,178,14,63863462a657c757174337d29579ccda,nyserda+00000116723+meter443111257002006-site+21 West End Avenue_443111257002006 (kWh),,31673
1,193812,105,1570021200000.0,1511204400000.0,,,,,Main Power,kWh,,16,17818.0,Electric Consumption,178,14,54107b3805f7add74731535412b1c685,nyserda+0000079789+Site-Sensor+Main Power,,17264
2,193817,105,1570021200000.0,1511204400000.0,,,,,Mug Froster 1,kWh,,16,0.0,Electric Consumption,178,14,129e62ca9bd96701513039a933683556,nyserda+0000079789+meter1-mugFroster1+Mug Froster 1,,17265
3,193818,105,1570021200000.0,1511204400000.0,,,,,Combo Cooler / Freezer,kWh,,16,15.0,Electric Consumption,178,14,11a78fc9ef9f59cb8144526854a0c69b,nyserda+0000079789+meter12-coolerFreezer+Combo Cooler / Freezer,,17266
4,193819,105,1570021200000.0,1511204400000.0,,,,,Mug Froster 2,kWh,,16,13.0,Electric Consumption,178,14,537c577586baf34c85c3ff08c52da788,nyserda+0000079789+meter2-mugFroster2+Mug Froster 2,,17267
5,193820,105,1570021200000.0,1511204400000.0,,,,,Mug Froster 3,kWh,,16,432.0,Electric Consumption,178,14,51951515f06064aad0bac24584a62406,nyserda+0000079789+meter3-mugFroster3+Mug Froster 3,,17268
6,193821,105,1570021200000.0,1511204400000.0,,,,,Refrig Drawers,kWh,,16,15.0,Electric Consumption,178,14,00f1bade800263369aaea7faa723c25e,nyserda+0000079789+meter4-refrigeratedDrawers+Refrig Drawers,,17269
7,193822,105,1570021200000.0,1511204400000.0,,,,,Meat Room,kWh,,16,15.0,Electric Consumption,178,14,c44eff4b1bb898598ed9ac5f2e6e4738,nyserda+0000079789+meter5-walkInCooler-meat+Meat Room,,17270
8,193823,105,1570021200000.0,1511204400000.0,,,,,Production WI,kWh,,16,342.0,Electric Consumption,178,14,6223d06cea9dd428c1eae41b94ef84b5,nyserda+0000079789+meter6-walkInCooler-produce+Production WI,,17271
9,193824,105,1570021200000.0,1511204400000.0,,,,,WI Freezer,kWh,,16,823.0,Electric Consumption,178,14,85808bea877ae4c1ea7e0935e41206bb,nyserda+0000079789+meter7-walkinFreezer+WI Freezer,,17272
10,193854,107,1561950000000.0,1530417600000.0,,,,,Basement Main,kWh,,16,24.16,Electric Consumption,178,14,6f1fb35d525f009247a6021891c6a6ad,nyserda+0000084869+elecPanel-basement-main+Basement Main,,17282
11,193855,107,1561950000000.0,1530417600000.0,,,,,12th Fl AC,kWh,,16,11.60,Electric Consumption,178,14,5224d54410d30edab145940ad75a1804,nyserda+0000084869+elecPanel-floor12-ac+12th Fl AC,,17283
12,193856,107,1561950000000.0,1530417600000.0,,,,,12th Fl EDH-12-1,kWh,,16,0.01,Electric Consumption,178,14,8f90d1d8f97d744e640d08456d0cb2e9,nyserda+0000084869+elecPanel-floor12-edh12-1+12th Fl EDH-12-1,,17284
13,193857,107,1561950000000.0,1530417600000.0,,,,,12th Fl EDH-12-2,kWh,,16,0.0,Electric Consumption,178,14,78af735e675d0b40476a54ac0cb654c9,nyserda+0000084869+elecPanel-floor12-edh12-2+12th Fl EDH-12-2,,17285
14,193858,107,1561950000000.0,1530417600000.0,,,,,12th Fl EWH-2,kWh,,16,0.0,Electric Consumption,178,14,a189f0b8e7a93fc0aa884e6fb7cc38dd,nyserda+0000084869+elecPanel-floor12-ewh2+12th Fl EWH-2,,17286
15,193859,107,1561950000000.0,1530417600000.0,,,,,12th Fl Heat Trace,kWh,,16,0.00,Electric Consumption,178,14,963fe025b63b75dfd79bc072ebde1ef6,nyserda+0000084869+elecPanel-floor12-heatTrace+12th Fl Heat Trace,,17287
16,193860,107,1561950000000.0,1530417600000.0,,,,,12th Fl Hot Water Dispenser,kWh,,16,0.02,Electric Consumption,178,14,8a11eb81ab3a1341f4b8c83313ca8c6b,nyserda+0000084869+elecPanel-floor12-hotWaterDispenser+12th Fl Hot Water Dispenser,,17288
17,193861,107,1561950000000.0,1530417600000.0,,,,,12th Fl Lighting,kWh,,16,1.61,Electric Consumption,178,14,9c37d82cdca8af8c3fe9c263eef4c810,nyserda+0000084869+elecPanel-floor12-lighting+12th Fl Lighting,,17289
18,193862,107,1561950000000.0,1530417600000.0,,,,,12th Fl Main,kWh,,16,3.61,Electric Consumption,178,14,988b8cf6c3ef177d8aaaadc3827334a6,nyserda+0000084869+elecPanel-floor12-main+12th Fl Main,,17290
19,193863,107,1561950000000.0,1530417600000.0,,,,,12th Fl Panel PP-12 Main,kWh,,16,12.40,Electric Consumption,178,14,9d8a9ab18aa9bcdc66bb2f5809beca3e,nyserda+0000084869+elecPanel-floor12-pp12+12th Fl Panel PP-12 Main,,17291
20,193864,107,1561950000000.0,1530417600000.0,,,,,16th Fl HVAC,kWh,,16,0.35,Electric Consumption,178,14,5aa5d09f2c35b20ea9189c354a0437e5,nyserda+0000084869+elecPanel-floor16-hvac+16th Fl HVAC,,17292
21,193865,107,1561950000000.0,1530417600000.0,,,,,16th Fl Lighting,kWh,,16,0.95,Electric Consumption,178,14,5846394ae552a9c50c8840ad34e4adb9,nyserda+0000084869+elecPanel-floor16-lighting+16th Fl Lighting,,17293
22,193866,107,1561950000000.0,1530417600000.0,,,,,16th Fl Main,kWh,,16,2.71,Electric Consumption,178,14,8b4a63e349cfb4ebcc5b89ef3c4d646e,nyserda+0000084869+elecPanel-floor16-main+16th Fl Main,,17294
23,193867,107,1561950000000.0,1530417600000.0,,,,,16th Fl Printers Copier,kWh,,16,0.07,Electric Consumption,178,14,a69452a8416a912625eec2f5157c855c,nyserda+0000084869+elecPanel-floor16-printersCopier+16th Fl Printers Copier,,17295
24,193868,107,1561950000000.0,1530417600000.0,,,,,16th Fl Water Dispenser,kWh,,16,0.69,Electric Consumption,178,14,b58918287200c3bb8a1e2e8800c03f16,nyserda+0000084869+elecPanel-floor16-waterDispenser+16th Fl Water Dispenser,,17296
25,193869,107,1561950000000.0,1530417600000.0,,,,,17th Fl Copier,kWh,,16,0.00,Electric Consumption,178,14,3c3761158e7ed9545b4ab253e3e196b4,nyserda+0000084869+elecPanel-floor17-copier+17th Fl Copier,,17297
26,193870,107,1561950000000.0,1530417600000.0,,,,,17th Fl Dishwasher A,kWh,,16,0.0,Electric Consumption,178,14,c7d8b75070ca76ce0a07323b5ce72bf2,nyserda+0000084869+elecPanel-floor17-dishwasherA+17th Fl Dishwasher A,,17298
27,193871,107,1561950000000.0,1530417600000.0,,,,,17th Fl Dishwasher B,kWh,,16,0.0,Electric Consumption,178,14,bd1ebb45389c1478096eb76ba86dc748,nyserda+0000084869+elecPanel-floor17-dishwasherB+17th Fl Dishwasher B,,17299
28,193872,107,1561950000000.0,1530417600000.0,,,,,17th Fl Fridge A,kWh,,16,0.04,Electric Consumption,178,14,9a3f5a371528eee2c66fbc37acfadd2b,nyserda+0000084869+elecPanel-floor17-fridgeA+17th Fl Fridge A,,17300
29,193873,107,1561950000000.0,1530417600000.0,,,,,17th Fl Fridge B,kWh,,16,0.01,Electric Consumption,178,14,9a9ca0399a6cfceafb68ce2f4bc99c2e,nyserda+0000084869+elecPanel-floor17-fridgeB+17th Fl Fridge B,,17301
30,193874,107,1561950000000.0,1530417600000.0,,,,,17th Fl HVAC,kWh,,16,0.30,Electric Consumption,178,14,afb16c542e372940c4e7c131bc25b8e9,nyserda+0000084869+elecPanel-floor17-hvac+17th Fl HVAC,,17302
31,193875,107,1561950000000.0,1530417600000.0,,,,,17th Fl Lighting A,kWh,,16,0.77,Electric Consumption,178,14,8969500bfedce602c3c195493e1f0f0c,nyserda+0000084869+elecPanel-floor17-lightingA+17th Fl Lighting A,,17303
32,193876,107,1561950000000.0,1530417600000.0,,,,,17th Fl Lighting B,kWh,,16,0.00,Electric Consumption,178,14,a4cb8d5694acfa3dc2edb892ad2c7dc8,nyserda+0000084869+elecPanel-floor17-lightingB+17th Fl Lighting B,,17304
33,193877,107,1561950000000.0,1530417600000.0,,,,,17th Fl Main,kWh,,16,4.23,Electric Consumption,178,14,0e25565396cf7fcda7c3f54c983429e4,nyserda+0000084869+elecPanel-floor17-main+17th Fl Main,,17305
34,193878,107,1561950000000.0,1530417600000.0,,,,,17th Fl Printer,kWh,,16,0.00,Electric Consumption,178,14,964c7927f610f7e0d3a12baaa0e9f547,nyserda+0000084869+elecPanel-floor17-printer+17th Fl Printer,,17306
35,193879,107,1561950000000.0,1530417600000.0,,,,,17th Fl Vending Machine,kWh,,16,0.20,Electric Consumption,178,14,2465151462903871a7847292b7d65ffe,nyserda+0000084869+elecPanel-floor17-vendingMachine+17th Fl Vending Machine,,17307
36,193880,107,1561950000000.0,1530417600000.0,,,,,18th Fl IT Room,kWh,,16,0.00,Electric Consumption,178,14,396f58265ebc6f966ad7933b05542888,nyserda+0000084869+elecPanel-floor18-ITRoom+18th Fl IT Room,,17308
37,193881,107,1561950000000.0,1530417600000.0,,,,,18th Fl AHU-18-1,kWh,,16,0.02,Electric Consumption,178,14,7ae221ffdd4dee5ad20f00226ab699cc,nyserda+0000084869+elecPanel-floor18-ahu18-1+18th Fl AHU-18-1,,17309
38,193882,107,1561950000000.0,1530417600000.0,,,,,18th Fl AHU-18-2,kWh,,16,0.02,Electric Consumption,178,14,78ca90673462c0c894788ffce424a363,nyserda+0000084869+elecPanel-floor18-ahu18-2+18th Fl AHU-18-2,,17310
39,193883,107,1561950000000.0,1530417600000.0,,,,,18th Fl Air Cooled Condenser,kWh,,16,0.09,Electric Consumption,178,14,3609a774c6513052aebc7762d29550c3,nyserda+0000084869+elecPanel-floor18-airCooledCondenser+18th Fl Air Cooled Condenser,,17311
40,193884,107,1561950000000.0,1530417600000.0,,,,,18th Fl Dishwasher,kWh,,16,0.0,Electric Consumption,178,14,60c3ee0ab8c56dc49e5bb792f267b076,nyserda+0000084869+elecPanel-floor18-dishwasher+18th Fl Dishwasher,,17312
41,193885,107,1561950000000.0,1530417600000.0,,,,,18th Fl HVAC,kWh,,16,0.15,Electric Consumption,178,14,ee7081834d4df2fbc5348f2d2844876c,nyserda+0000084869+elecPanel-floor18-hvac+18th Fl HVAC,,17313
